Condition,YOLO mAP50,YOLO Δ%,RF-DETR mAP50,RF-DETR Δ%
baseline,0.9041833751044278,0.0,0.9013364459250592,0.0
lum_bright,0.9161188271604939,1.3200256037319398,0.9081138024516736,0.7519230535117929
lum_dim,0.894717274958229,-1.046922605174596,0.8937056653864094,-0.8466073432566272
lum_dark,0.8726378205128205,-3.488844791905627,0.8945305057362843,-0.7550943068533998
noise_med,0.8851495726495727,-2.1050821082235442,0.9023451026064866,0.11190678974399527
noise_high,0.21005056476514872,-76.76903042583712,0.8918666356623705,-1.0506410015374148
