,YOLO11n,RF-DETR-S
mAP50,0.9041833751044278,0.9013364459250592
mAP50-95,0.8753362312030074,0.8811640157098205
precision,0.8785295125987806,
recall,0.7546430883769389,
F1,0.8118875178549254,
inference_ms,36.352132379997784,132.79667970000446
fps,27.5087026407902,7.530308756657614
size_MB,5.214746475219727,121.8215684890747
